Ref,Val,Package,PosX,PosY,Rot,Side
"C1","680uF","CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder",104.902000,-69.342000,90.000000,top
"C2","220uF","CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder",114.808000,-84.582000,180.000000,top
"C4","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",159.004000,-89.154000,90.000000,top
"C5","22p","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",137.160000,-79.502000,0.000000,top
"C6","22p","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",140.716000,-79.502000,180.000000,top
"C7","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",144.272000,-69.342000,90.000000,top
"C8","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",167.132000,-100.584000,270.000000,top
"C9","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",159.653000,-92.004400,0.000000,top
"C10","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",169.672000,-91.694000,270.000000,top
"D1","1N5817","D_SMA_Handsoldering",103.632000,-75.000000,180.000000,top
"D2","1N5825","D_SMC_Handsoldering",127.762000,-84.328000,0.000000,top
"F1","Polyfuse","Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder",101.092000,-70.104000,90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Molex-105017-0001",96.012000,-71.120000,270.000000,top
"L1","33uH","L_12x12mm_H8mm",127.762000,-74.168000,180.000000,top
"R1","100","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",101.691473,-90.350000,90.000000,top
"R2","100","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",114.074419,-90.350000,90.000000,top
"R3","100","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",126.457365,-90.350000,90.000000,top
"R4","100","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",138.500000,-90.625000,90.000000,top
"R5","100","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",151.130000,-90.678000,90.000000,top
"R6","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",159.004000,-78.994000,90.000000,top
"R7","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",173.990000,-91.948000,270.000000,top
"U1","LM2596T-3.3","TO-263-5_TabPin3",114.808000,-74.168000,90.000000,top
"U2","ESP-07v2","ESP-07",169.418000,-78.994000,0.000000,top
"U3","INTERFACE-CH340G","SOP-16_4.4x10.4mm_P1.27mm",139.192000,-73.020208,0.000000,top
"U5","TXS0108EPW","TSSOP-20_4.4x6.5mm_P0.65mm",164.846000,-94.996000,270.000000,top
"Y1","Crystal","Crystal_SMD_0603-2Pin_6.0x3.5mm_HandSoldering",139.954000,-82.550000,180.000000,top
